編號,銀行,信用卡,國內現金回饋,國外現金回饋,關鍵字,產品特色,限制,首刷禮,首刷優惠,手續費,年費,最低年收入,最低年齡,,,
186,玉山銀行,佐登妮絲聯名卡,0.60%,0.00%,通路聯名,"每筆消費皆有回饋，最高可享0.6%現金回饋
門市刷聯名卡，消費單筆滿5,000元(含)以上，可享三期分期免手續費優惠 / 消費單筆滿30,000元(含)以上，可享六期分期免手續費優惠。",每筆消費NT$ 7999 (含)以下 0.3%，NT$ 8000 (含)以上 0.6%,N/A,N/A,1.50%,首年免年費,N/A,20,0.0060,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
187,玉山銀行,eTag悠遊聯名卡,0.20%,0.20%,"加油停車
eTag","中油自營站加油5%回饋
eTag自動儲值5%回饋
一般消費筆筆享0.2%現金回饋","當期帳單新增一般消費達5筆699元(含)以上，才可享加油5%回饋(每期回饋上限200元)．活動至2018/6/30
使用玉山eTag悠遊聯名卡當期帳單新增一般消費達5筆699元(含)以上，享eTag自動儲值金額5%回饋(每期回饋上限100元)。活動至2018/6/30
本優惠需持玉山eTag悠遊聯名卡刷卡之消費始可享有，每月回饋金額無上限，不另累積紅利點數。活動至2018/6/30",首刷滿額禮：eTag儲值金500元。首次申辦eTag悠遊鈦金卡/御璽卡/晶緻卡，且核卡45天內首刷單筆888元(含)以上，並申辦信用卡eTag自動儲值成功，享eTag儲值金500元。活動時間至2018/6/30。,"<活動ㄧ>機場外圍停車優惠。全年不限次數，每次最多7天免費機場外圍停車優惠(需於出國前180天內以玉山eTag悠遊聯名卡支付全額國外機票或旅行社國外團費80%以上)。活動至2018/12/31。
<活動二>機場貴賓室。以玉山eTag悠遊聯名卡支付國際機票或旅行社團費，單筆金額達新臺幣2萬元以上，即可於出國前兩週申請龍騰卡機場貴賓卡(龍騰卡機場貴賓卡有效期限為1年)，每人每次可以優惠價750元或以紅利點數5,000點兌換使用機場貴賓室乙次/機場餐廳龍騰套餐乙客。活動至2018/12/31",1.50%,"正卡年費:鈦金卡NT3000,御璽卡NT$3000,晶緻卡NT$3000 首年免年費
免年費條件：年度累積消費達NT$3萬 或 不限金額6次。其他相關費用依玉山銀行網站及申請書公告。",N/A,20,0.0040,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
188,玉山銀行,玉山世界卡,0.00%,1.00%,旅遊優惠,"國內消費$25/點，生日當月享紅利點數3倍，玉山世界卡貴賓享紅利點數終身累積之禮遇；國外消費享1%現金回饋．活動至2018/12/31
機場接送服務 1年以2趟為限
龍騰卡機場貴賓室 全年度最多免費使用貴賓室12次","國外交易已享現金回饋，故不再提供紅利點數。生日點數加倍回饋上限10,000點，正附卡合併計算。
以玉山世界卡支付當次全額國際機票或旅行社國外團費80％以上且金額達2萬元以上，或前2期帳單新增一般消費累積達10萬元以上，即享免費機場單程接或送1趟（1年以2趟為限，正、附卡合併計算，接送以台北市/新北市/桃園市至桃園機場；高雄市至小港機場為基準；其它地區享有接或送優惠價格）。活動至2018/12/31
以玉山世界卡支付當次全額國際機票或旅行社國外團費80％以上，並且於使用貴賓室前之當期帳單新增一般消費達5,000元，即可免費使用機場貴賓室2次。於貴賓卡有效期限內，符合上述門檻，全年度1/1~12/31最多免費使用貴賓室12次（正、附卡需分開刷卡，分別出示機場貴賓卡）．活動至2018/12/31",首刷禮:1.滿$999元(含)以上且擁有本行帳戶自扣享刷卡金888元 2.滿8萬元(含)以上享NEOFLAM低壓悶煮鍋乙個(每歸戶限領乙份)。2018/6/30前，首次申辦玉山世界卡，於核卡60天內，正卡新增一般消費單筆滿999元(含)以上享刷卡金888元；新增一般消費累積滿8萬元(含)以上，享NEOFLAM低壓悶煮鍋乙個(每歸戶限領乙份),N/A,1.50%,"正卡年費:NT20,000",N/A,20,0.0100,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
189,玉山銀行,悠遊聯名卡,0.00%,0.00%,電子支付功能(悠遊卡、一卡通、iCash),"刷卡消費每25元可累積1點紅利點數
每月動用玉山悠遊聯名卡(喵喵/名畫版)不限地點自動加值滿(含)三次，即贈全家便利商店中杯熱拿鐵乙杯(每歸戶每月回饋上限乙杯)。活動至2018/6/30。",N/A,新戶享悠遊卡自動加值金500元。新戶首次申辦玉山悠遊聯名卡(喵喵/名畫版)且核卡45天內新增1筆888元(含)以上消費，並首次動用自動加值，贈「悠遊卡自動加值金」500元。活動至2018/6/30。,N/A,1.50%,"正卡年費:御璽卡NT$3000,白金卡NT$900,鈦金卡NT$3000 首年免年費
免年費條件：普卡 年度累積消費達NT$1萬 或 不限金額2次；白金卡/鈦金卡/御璽卡 年度累積消費達NT$3萬 或 不限金額6次",N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
190,玉山銀行,山隆優油卡,0.00%,0.00%,加油停車,"於山隆加油站刷山隆優油卡，汽油每公升天天降1.6元，每週二降1.8元；自助加油每公升天天降2.2元。活動至2018/6/30
ㄧ般消費，可享每NT25/點．於山隆加油站刷卡，每100點玉山紅利點數折抵6元，最高折抵當筆交易50%。",加油降價不再享任何紅利點數回饋,首刷贈加油刷卡金300元。首次申辦山隆優油卡，憑聯名卡至山隆加油站首刷加油達300元(含)以上，當期帳單回饋加油刷卡金300元。至2018/6/30。,N/A,1.50%,"正卡年費：普卡NT6500,白金卡NT$2400 首年免年費
免年費條件：有消費即享免年費",N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
191,玉山銀行,統一時代icash聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","館內消費超值回饋購物9折起
館內外消費滿額皆回饋Dream Card點數：館內NT100/2點，館外單筆NT200/點；當月壽星館內NT200元/60點。
icash功能消費每1元可累積1點OPENPOINT點數，每300點OPENPOINT可折抵1元，可於全國7-ELEVEN門市及有加入OPENPOINT兌點之合作特約機構。",每400點紅利點數可兌換200商品抵用券,新戶享統一時代500元刷卡金；舊戶享200元刷卡金。核卡後45天內至統一時代台北店單筆刷滿999元以上，贈統一時代台北店館內『新戶500元/舊戶200元』刷卡金。至2018/6/30。,N/A,1.50%,"正卡年費：白金卡NT900 首年免年費
免年費條件：每年有消費即年年免年費。",N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
192,玉山銀行,中友百貨悠遊聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","中友百貨館內刷卡消費，可享每1,000點玉山紅利點數折抵60元
中友百貨指定櫃位購物享優惠折扣
刷卡消費每25元可累積1點紅利點數",中友百貨內紅利折抵，最高可折抵當筆交易50%。,首刷禮中友商品禮券 300 元。核卡後即可至中友百貨刷卡消費不限金額，可兌換「中友商品禮券 300 元」乙份。至2018/12/31。,N/A,1.50%,"正卡年費:鈦金卡NT$3000 首年免年費
免年費條件：每年有消費即年年免年費。",N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
193,玉山銀行,全國電子聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)",門市刷卡消費享分期0利率,N/A,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
194,玉山銀行,寶雅悠遊聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","寶雅點數及玉山紅利點數雙重累積．持聯名卡至店內刷卡消費，享『寶雅會員點數』最高5倍送，回饋率最高達1.67%（消費$1＝1點寶雅點數，300點折抵$1）
每週三聯名卡單筆消費滿$999享現折100元(如聯名卡綁定玉山wallet消費滿額，則改由當期帳單回饋100元，恕不再享現場折抵)","新增寶雅紅利點數將於隔日入至寶雅會員帳戶中。點數贈送皆含原本1倍，此筆消費不再回饋玉山紅利點數。活動至2018/12/31
週三卡友會員日活動每卡當日限折抵乙次，超過金額恕無法拆帳計算，消費亦不得累計折抵；本優惠不得與其他優惠或付款方式併用．活動至2018/12/31",N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
195,玉山銀行,ATT 4 Fun 悠遊聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","一般新增消費25元可累積1點紅利點數。ATT4FUN館內刷卡消費，可享每1,000點玉山紅利點數折抵60元，最高折抵當筆交易50%。
館內指定商店購物或用餐可享9折起優惠．活動至2018/6/30
永遠記得您生日 當月聯名卡壽星全館消費不限金額贈【全館消費抵用券100元】．活動至2018/6/30",N/A,首刷禮：新戶享「館內消費抵用券600元」乙份；舊戶享「館內消費抵用券200元」乙份。首次申辦 ATT 4 FUN 悠遊聯名卡並於館內刷卡消費單筆滿999(含)以上，即可憑聯名卡、同卡號簽單及當日發票，兌換新/舊戶首刷禮。 至2018/6/30。,N/A,1.50%,"正卡年費:鈦金卡NT$3000,御璽卡NT$3000 首年免年費
免年費條件：每年有消費，年年免年費",N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
196,玉山銀行,新東陽悠遊聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","每25元累積1點紅利點數
於新東陽刷卡消費，可享每100點玉山紅利點數折抵6元，最高折抵當筆交易50%。",N/A,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
197,玉山銀行,NISSAN悠遊聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","每25元累積1點紅利點數
於NISSAN原廠刷卡消費，可享每100點玉山紅利點數折抵6元，最高折抵當筆交易50%
免費道路救援",回廠刷卡享首年免費道路救援服務，自登錄日起一年累積消費達5萬或10次(不限金額)，次年享免費服務。 (正、附卡合計限登錄一輛車號，NISSAN車款限拖吊至最近原廠，不限里程數。非NISSAN車款拖吊至最近維修廠，50公里以內免費服務 超過50公里，每公里超收50元，採登錄制，限3.5噸以下之自用小客車，同天同一事件不做連續性服務，第二次使用需付費)．活動至2018/12/31,"新戶首刷禮：贈NISSAN保修紅利23,000點。首次申辦贈NISSAN保修紅利23,000點，輕鬆兌換NISSAN紅利精品。至2018/6/30。 ※限NISSAN車主使用，NISSAN保修點數統一於核卡隔月月底匯入。","NISSAN 加油日:每週二、三 中油直營站加油享5%現金回饋。活動需登錄且當期帳單持NISSAN悠遊聯名卡新增一般消費累積滿5,000元，每期最高回饋300元。活動至2018/6/30",1.50%,"正卡年費:鈦金卡NT$3000 首年免年費
年年有消費，年年免年費",N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
198,玉山銀行,賀寶芙悠遊聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","刷卡消費每25元可累積1點紅利點數
專享Herbalife購貨分期付款0利率","設定玉山賀寶芙聯名卡於訂購產品後「筆筆」自動分期，亦可設定達金額門檻再行分期(不限金額/5,000/10,000元)",N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
199,玉山銀行,耐斯廣場NP聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","耐斯百貨館內刷卡消費，可享每100點玉山紅利點數折抵6元，最高折抵當筆交易50%。
館內刷聯名卡可享免手續費分期優惠
館內刷聯名卡可享免手續費分期優惠，單筆刷卡3,000元以上：3期，單筆刷卡6,000元以上：6期",,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
200,玉山銀行,華歌爾悠遊聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","每25元累積1點紅利點數
於門市、專櫃(百貨公司除外)，刷卡購買華歌爾全品牌商品，即可累積3%、5%、8%年度購物回饋金",,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
201,玉山銀行,麗寶悠遊聯名卡,0.00%,0.00%,"通路聯名
電子支付功能(悠遊卡、一卡通、iCash)","一般消費每25元累積1點紅利點數，麗寶集團館內消費享紅利點數２倍送
麗寶樂園門票最優6折起；每月13會員日門票買一送一；雙園餐飲、購物享9折
福容大飯店連鎖(麗寶樂園店不適用)享住宿及餐飲95折優惠; 福容大飯店-麗寶樂園店享住宿及餐飲9折優惠","持聯名卡於麗寶集團館內消費(含麗寶樂園、麗寶OUTLET MALL及福容大飯店連鎖)享紅利點數2倍送！(含原1倍紅利點數)
【福容大飯店連鎖優惠(麗寶樂園店不適用)】：刷聯名卡於福容大飯店連鎖訂購現場住房專案，所有住房專案享95折！(須視當日房況，特殊節日不適用);刷聯名卡於福容大飯店連鎖用餐，不分平假日即享95折優惠！(特殊節日不適用，須事先訂位，並加計原價之一成服務費，限10人(含)以下用餐，餐飲優惠恕不可合併使用。) 【福容大飯店-麗寶樂園店優惠】：刷聯名卡於福容大飯店-麗寶樂園店訂購現場住房專案，享房型免費升等一級，並享9折優惠！(須視當日房況，特殊節日不適用);刷聯名卡於福容大飯店-麗寶樂園店用餐不分平假日享9折優惠！(特殊節日不適用，須事先訂位，並加計原價之一成服務費，限10人(含)以下用餐，餐飲優惠恕不可合併使用。)",新戶首刷好禮3選1：『麗寶樂園水陸雙園擇一入園券2張』、『麗寶OUTLET MALL商品抵用券$500元』、刷卡金300元；舊戶首刷好禮3選1：『麗寶樂園水陸雙園擇一入園券 1張』、『麗寶OUTLET MALL商品抵用券$200元』、刷卡金200元。首次申辦玉山麗寶悠遊聯名卡正卡核卡後，60天內新增一般消費單筆滿$599(含)以上，贈好禮3選1．活動至2018/6/30,N/A,1.50%,"麗寶悠遊御璽/晶緻卡正卡3,000 元 / 卡：麗寶悠遊白金卡正卡 900 元 / 卡，附卡免年費。
免年費條件：每年有消費即年年免年費",N/A,20,0.0000,https://1.bp.blogspot.com/-cL2MrPuahgM/WMY90c9EyyI/AAAAAAAACgo/yoFrHdaucAQA0fnHDWGbAZWv3CIRg7XPgCLcB/s1600/esun-logo.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiex8e2yunbAhWYzmEKHeOUBFIQFggnMAA&url=https%3A%2F%2Fwww.esunbank.com.tw%2F&usg=AOvVaw13JnX71IoeDcJOW2p5p_IY
202,元大銀行,如來卡,0.00%,0.00%,"宗教
旅遊優惠","提撥指定消費金額1%捐贈予「社團法人佛教如來宗如來實證協會」
NT$2,000萬高額旅遊平安險
持卡終身免年費",N/A,N/A,N/A,,永久免年費,N/A,20,0.0000,https://images.1111.com.tw/oad/51743910.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiLrrfXyunbAhWUQd4KHc34B1IQFggnMAA&url=https%3A%2F%2Fwww.yuantabank.com.tw%2F&usg=AOvVaw1ygG155vrq4QEEmAeUlqod
203,元大銀行,iCash樂享晶緻卡,2.00%,2.00%,"旅遊優惠
美食
電影","一般通路現金回饋0.3%；指定通路：餐廳類/旅遊類/國外交易最高享2%現金回饋
看電影只要199，於EZ訂上購買美麗華、威秀、in89等電影票享優惠價每張199元。
免費市區停車2小時/ 機場外圍停車","「樂享卡」每期帳單現金回饋上限為NT$1,000，一般通路及指定通路回饋上限各為NT$500。一般通路需新增一般消費金額滿NT$3,000元(含)以上享0.3%；指定通路需新增一般消費金額滿NT$6,000元(含)以上享2%。活動至2018/6/30。
單卡單月一般消費滿新台幣1,000元(不包含ez訂電影購票消費)
停車優惠詳見官網","首次加值送20,000點OPENPOINT
首次申辦icash樂享卡 ，並於核卡30天內首次啟用自動加值即贈送20,000點OPENPOINT。活動至2018/6/30。","<活動一> 7-11週二/六/日 或 7-11週二元大日 或星巴克天天 OPENPOINT點數10倍送
<活動一> 活動期間每週二/六/日至7-ELEVEN門市或天天至星巴克門市以icash功能消費，享OPENPOINT紅利點數10倍回饋(含原有1倍或其他優惠倍數)。活動至2018/6/30。",1.50%,"正卡年費:晶緻卡NT$3000/ 首年免年費
免年費條件：icash樂享晶緻卡正卡自核卡日起每年刷卡消費自動加值6次(含)或NT$30,000(含)以上即可享次年免年費","$200,000",20,0.0400,https://images.1111.com.tw/oad/51743910.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiLrrfXyunbAhWUQd4KHc34B1IQFggnMAA&url=https%3A%2F%2Fwww.yuantabank.com.tw%2F&usg=AOvVaw1ygG155vrq4QEEmAeUlqod
204,元大銀行,愛PASS鈦金卡,2.00%,0.00%,"加油停車
電子支付功能(悠遊卡、一卡通、iCash)","[嘟嘟房]每日市區免費停車1小時優惠
加油站、自動加值、及交通類(高鐵、台鐵、客運、航空公司）可享最高2%現金回饋。
一卡通自動加值免手續費；持一卡通聯名卡搭乘高雄捷運、公車及公共腳踏車享票價或轉乘優惠。","每月新增消費金額NT$8,000(含)以上，享有指定停車場免費停車優惠，每日1次、每次2小時、每月限10次。指定停車場為：中興嘟嘟房、台灣聯通及詮營停車場。","新卡首次自動加值送60元刷卡金
活動期間內新核發之愛PASS卡，核卡後30天內首次成功自動加值1筆NT$200(含其倍數)，可獲贈NT$60刷卡金，活動期間內每人每卡限獲贈NT$60刷卡金乙次。活動至2018/6/30。","<活動一> 單月一般消費刷NT$3,000 次月自動加值抵60元
<活動一> 活動期間內，愛PASS卡單月新增一般消費滿NT$3,000(含)以上，次月新增自動加值交易1筆即享NT$60回饋，每戶每月限回饋NT$60乙次。活動至2018/6/30。",1.50%,"正卡年費:鈦金卡NT$3000 首年免年費
免年費條件：正卡自核卡日起每年刷卡消費自動加值6次(含)或NT$30,000(含)以上即可享次年免年費","$200,000",20,0.0200,https://images.1111.com.tw/oad/51743910.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiLrrfXyunbAhWUQd4KHc34B1IQFggnMAA&url=https%3A%2F%2Fwww.yuantabank.com.tw%2F&usg=AOvVaw1ygG155vrq4QEEmAeUlqod
205,元大銀行,鑽金卡,1.20%,3.00%,N/A,"國內消費1.2%現金回饋；海外消費享現金回饋2.2%
無消費門檻，無通路限制，回饋無上限，刷越多回饋越多
暢遊全球190國免費Wi-Fi上網","回饋金計算以持卡人當期結帳日永久信用額度內之一般消費金額為限。回饋有效期限為6個月，到期自動歸零
元大鑽金icash聯名卡持卡人於該次海外行程之海外消費累計滿NT$30,000，即可享該次海外行程最多5天免費租用行動上網分享器。活動至2018/6/30",N/A,"<活動ㄧ>四季賺金 指定國家海外消費 享3%現金回饋
<活動ㄧ> 3%現金回饋僅適用活動期間內於指定國家海外消費逾NT$20,000之消費金額。2018年第二季『潑水趣』：泰國、寮國、緬甸、斯里蘭卡。活動至2018/6/30",1.50%,"正卡年費:鈦金卡NT$1800 首年免年費
免年費條件：年度消費達NT$15萬 或 申請電子帳單且取消實體帳單者",N/A,20,0.0420,https://images.1111.com.tw/oad/51743910.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiLrrfXyunbAhWUQd4KHc34B1IQFggnMAA&url=https%3A%2F%2Fwww.yuantabank.com.tw%2F&usg=AOvVaw1ygG155vrq4QEEmAeUlqod
206,元大銀行,鑽金 icash 聯名卡,1.20%,3.00%,"電子支付功能(悠遊卡、一卡通、iCash)
","國內消費享1.2%現金回饋 ；國外消費享2.2%現金回饋
無消費門檻，無通路限制，回饋無上限，刷越多回饋越多
暢遊全球190國免費Wi-Fi上網","回饋金計算以持卡人當期結帳日永久信用額度內之一般消費金額為限。回饋有效期限為6個月，到期自動歸零
元大鑽金icash聯名卡持卡人於該次海外行程之海外消費累計滿NT$30,000，即可享該次海外行程最多5天免費租用行動上網分享器。活動至2018/6/30","新戶海外3%加碼回饋
2018/6/30前，Mastercard新戶不限國家海外消費最高享3%現金回饋，海外消費累計NT$20,000以上之消費金額始得適用",N/A,1.50%,"正卡年費:御璽卡NT$900,鈦金卡NT$900,晶緻卡NT$900 首年免年費
免年費條件：申請電子帳單且取消實體帳單之持卡人，於電子帳單申請期間可享免年費之優惠。",N/A,20,0.0420,https://images.1111.com.tw/oad/51743910.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiLrrfXyunbAhWUQd4KHc34B1IQFggnMAA&url=https%3A%2F%2Fwww.yuantabank.com.tw%2F&usg=AOvVaw1ygG155vrq4QEEmAeUlqod
207,元大銀行,富貴無限卡,1.20%,2.20%,N/A,"國外消費享2.2%現金回饋無上限
免費使用全球超過850個機場貴賓室",富貴無限卡持卡人刷卡購買國際線機票或支付出國團費8成以上者，即可享有免費使用全球機場貴賓室乙次,N/A,N/A,1.50%,正卡年費:無限卡NT$20000 首年免年費,N/A,20,0.0340,https://images.1111.com.tw/oad/51743910.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiLrrfXyunbAhWUQd4KHc34B1IQFggnMAA&url=https%3A%2F%2Fwww.yuantabank.com.tw%2F&usg=AOvVaw1ygG155vrq4QEEmAeUlqod
